Area	Campaign	Event label	Date/Time	Latitude	Longitude
South Atlantic Ocean	ANT-III/2	PS06/01164	1984-11-16T17:08	-54.700	-63.570
Drake Passage	ANT-III/2	PS06/01165	1984-11-16T23:29	-55.700	-62.550
Drake Passage	ANT-III/2	PS06/01166	1984-11-17T05:29	-56.750	-61.860
Scotia Sea	ANT-III/2	PS06/01167	1984-11-17T11:10	-57.780	-60.730
Scotia Sea	ANT-III/2	PS06/01168	1984-11-17T17:07	-58.900	-59.830
Scotia Sea	ANT-III/2	PS06/01169	1984-11-17T23:24	-59.950	-58.880
Scotia Sea	ANT-III/2	PS06/01170	1984-11-18T05:09	-60.840	-57.930
Scotia Sea	ANT-III/2	PS06/01171	1984-11-18T11:39	-61.670	-57.110
Scotia Sea	ANT-III/2	PS06/01172	1984-11-18T16:59	-62.280	-57.500
Scotia Sea	ANT-III/2	PS06/01173	1984-11-18T23:23	-62.330	-57.820
Scotia Sea	ANT-III/2	PS06/01174	1984-11-19T11:03	-62.150	-58.450
Scotia Sea	ANT-III/2	PS06/01175	1984-11-20T11:07	-62.150	-58.470
Scotia Sea	ANT-III/2	PS06/01176	1984-11-20T17:07	-62.170	-58.300
Weddell Sea	ANT-III/2	PS06/01177	1984-11-21T11:20	-63.500	-54.250
Weddell Sea	ANT-III/2	PS06/01178	1984-11-21T17:14	-63.450	-54.320
Scotia Sea	ANT-III/2	PS06/01179	1984-11-22T16:59	-61.750	-54.250
Scotia Sea	ANT-III/2	PS06/01180	1984-11-23T11:01	-60.750	-54.300
Scotia Sea	ANT-III/2	PS06/01181	1984-11-23T17:01	-60.480	-54.270
Scotia Sea	ANT-III/2	PS06/01182	1984-11-23T22:59	-60.250	-54.260
Scotia Sea	ANT-III/2	PS06/01183	1984-11-24T11:00	-60.000	-54.580
Scotia Sea	ANT-III/2	PS06/01184	1984-11-24T17:07	-60.130	-55.010
Scotia Sea	ANT-III/2	PS06/01185	1984-11-24T23:31	-60.230	-54.970
Scotia Sea	ANT-III/2	PS06/01186	1984-11-25T11:00	-60.730	-55.000
Scotia Sea	ANT-III/2	PS06/01187	1984-11-25T16:59	-61.000	-55.070
Scotia Sea	ANT-III/2	PS06/01188	1984-11-25T22:36	-61.250	-55.000
Scotia Sea	ANT-III/2	PS06/01189	1984-11-26T11:01	-61.750	-54.950
Scotia Sea	ANT-III/2	PS06/01190	1984-11-26T16:54	-62.000	-55.000
Scotia Sea	ANT-III/2	PS06/01191	1984-11-26T22:59	-62.710	-55.950
Scotia Sea	ANT-III/2	PS06/01192	1984-11-27T11:08	-62.250	-56.000
Scotia Sea	ANT-III/2	PS06/01193	1984-11-27T17:00	-61.780	-56.000
Scotia Sea	ANT-III/2	PS06/01194	1984-11-27T22:36	-61.250	-56.000
Scotia Sea	ANT-III/2	PS06/01195	1984-11-28T10:59	-60.750	-56.000
Scotia Sea	ANT-III/2	PS06/01196	1984-11-28T16:57	-60.480	-56.000
Scotia Sea	ANT-III/2	PS06/01197	1984-11-29T05:49	-60.000	-56.000
Scotia Sea	ANT-III/2	PS06/01198	1984-11-29T16:59	-60.250	-56.750
Scotia Sea	ANT-III/2	PS06/01199	1984-11-29T22:56	-60.500	-56.780
Scotia Sea	ANT-III/2	PS06/01200	1984-11-30T10:57	-61.000	-56.740
Scotia Sea	ANT-III/2	PS06/01201	1984-11-30T22:43	-61.800	-56.780
Scotia Sea	ANT-III/2	PS06/01202	1984-12-01T11:03	-62.130	-58.470
Scotia Sea	ANT-III/2	PS06/01203	1984-12-01T16:54	-62.250	-57.520
Scotia Sea	ANT-III/2	PS06/01204	1984-12-02T10:54	-60.330	-58.930
Scotia Sea	ANT-III/2	PS06/01205	1984-12-02T16:56	-60.830	-58.620
Scotia Sea	ANT-III/2	PS06/01206	1984-12-03T10:46	-62.230	-57.530
Scotia Sea	ANT-III/2	PS06/01207	1984-12-03T16:48	-62.370	-57.470
Scotia Sea	ANT-III/2	PS06/01208	1984-12-03T23:19	-62.990	-57.060
Scotia Sea	ANT-III/2	PS06/01209	1984-12-04T10:54	-63.080	-58.880
Scotia Sea	ANT-III/2	PS06/01210	1984-12-04T16:49	-62.610	-58.630
Scotia Sea	ANT-III/2	PS06/01211	1984-12-04T23:00	-61.790	-57.350
Scotia Sea	ANT-III/2	PS06/01212	1984-12-05T05:08	-60.800	-58.270
Scotia Sea	ANT-III/2	PS06/01213	1984-12-05T10:54	-59.830	-59.180
Scotia Sea	ANT-III/2	PS06/01214	1984-12-05T16:49	-58.800	-60.070
Scotia Sea	ANT-III/2	PS06/01215	1984-12-05T23:28	-57.650	-61.130
Drake Passage	ANT-III/2	PS06/01216	1984-12-06T10:56	-55.780	-62.720
South Atlantic Ocean	ANT-III/2	PS06/01217	1984-12-06T16:54	-54.770	-63.410
South Atlantic Ocean	ANT-III/2	PS06/01218	1984-12-06T23:32	-54.040	-65.030
South Atlantic Ocean	ANT-III/2	PS06/01219	1984-12-07T11:13	-52.920	-67.610
Scotia Sea	ANT-III/3	PS06/01220	1985-01-08T10:55	-62.220	-58.000
Scotia Sea	ANT-III/3	PS06/01221	1985-01-09T11:11	-60.490	-55.360
Scotia Sea	ANT-III/3	PS06/01222	1985-01-10T11:51	-61.190	-54.310
Weddell Sea	ANT-III/3	PS06/01223	1985-01-14T11:04	-61.500	-40.800
Weddell Sea	ANT-III/3	PS06/01224	1985-01-15T10:58	-62.400	-34.700
Weddell Sea	ANT-III/3	PS06/01225	1985-01-16T10:55	-64.400	-27.600
Weddell Sea	ANT-III/3	PS06/01226	1985-01-17T10:58	-66.700	-21.900
Weddell Sea	ANT-III/3	PS06/01227	1985-01-21T10:49	-71.400	-13.400
Weddell Sea	ANT-III/3	PS06/01228	1985-01-23T11:02	-73.000	-21.100
Weddell Sea	ANT-III/3	PS06/01229	1985-01-24T11:08	-72.700	-20.300
Weddell Sea	ANT-III/3	PS06/01230	1985-01-25T11:13	-72.400	-19.800
Weddell Sea	ANT-III/3	PS06/01231	1985-01-27T11:39	-72.500	-17.900
Weddell Sea	ANT-III/3	PS06/01232	1985-01-28T10:48	-72.350	-18.090
Weddell Sea	ANT-III/3	PS06/01233	1985-01-29T10:44	-72.500	-17.500
Weddell Sea	ANT-III/3	PS06/01234	1985-01-30T10:44	-72.500	-17.300
Weddell Sea	ANT-III/3	PS06/01235	1985-01-31T10:44	-72.700	-19.400
Weddell Sea	ANT-III/3	PS06/01236	1985-02-01T10:47	-73.200	-20.500
Weddell Sea	ANT-III/3	PS06/01237	1985-02-02T10:42	-75.200	-27.200
Weddell Sea	ANT-III/3	PS06/01238	1985-02-03T11:32	-77.100	-33.500
Weddell Sea	ANT-III/3	PS06/01239	1985-02-06T10:39	-77.700	-45.000
Weddell Sea	ANT-III/3	PS06/01241	1985-02-08T10:49	-77.600	-38.500
Weddell Sea	ANT-III/3	PS06/01242	1985-02-09T11:17	-77.700	-36.400
Weddell Sea	ANT-III/3	PS06/01243	1985-02-10T10:42	-76.400	-31.200
Weddell Sea	ANT-III/3	PS06/01244	1985-02-11T10:40	-73.600	-22.500
Weddell Sea	ANT-III/3	PS06/01245	1985-02-12T11:07	-73.100	-20.700
Weddell Sea	ANT-III/3	PS06/01246	1985-02-13T10:40	-72.800	-20.000
Weddell Sea	ANT-III/3	PS06/01247	1985-02-15T10:44	-72.400	-17.700
Weddell Sea	ANT-III/3	PS06/01248	1985-02-16T10:53	-72.600	-17.600
Weddell Sea	ANT-III/3	PS06/01249	1985-02-17T10:47	-72.000	-19.100
Weddell Sea	ANT-III/3	PS06/01250	1985-02-18T10:46	-73.400	-21.900
Weddell Sea	ANT-III/3	PS06/01251	1985-02-19T11:17	-72.800	-20.000
Weddell Sea	ANT-III/3	PS06/01252	1985-02-20T10:41	-72.900	-19.200
Weddell Sea	ANT-III/3	PS06/01253	1985-02-21T10:42	-73.100	-20.500
Weddell Sea	ANT-III/3	PS06/01254	1985-02-22T10:53	-71.200	-13.800
Weddell Sea	ANT-III/3	PS06/01255	1985-02-25T11:22	-68.900	-3.700
